,label,text
59,3," #80: @Kate Jean ed ""RT @Journotopia: Official Reuters statement:“We are enormously pleased that Myanmar has released our courageous reporters, Wa Lone and Ky…"""
60,3," #53: @Thirupathi🇮🇳Youth Congress ed ""RT @srinivasiyc: #AkshayaTritiya is the spring time festival of Jains and Hindus and is often considered the golden day in the calendar. I…"""
61,1," #4: @milly👑 . ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…"""
62,3," #60: @STAR/PAL ed ""@sdprobation @LA_Chargers1960 Thank you for being our amazing volunteers!! Makes these camps possible for the kiddos 🤗"""
63,5," #37: @FutureDanger Unveil ed ""Pig ‘Ebola’ Virus Sends Shock Waves Through Global Food ChainHeatMap Column 4> https://t.co/27gO9Ae3qP #Disease #Pestilence https://t.co/XxEu9COC0h"""
64,3," #33: @Faizan Sayed ed ""RT @itsBhushanKumar: A very happy birthday Dada! Your creativity and talent are as admirable as your positive aura! Have a  fantastic one!…"""
65,3," #29: @Gabe Ojeda ed ""RT @InspowerMinds: TODAY will never come again. Be a blessing. Be a friend. Encourage someone. Take time to care. Let your words heal, and…"""
66,3," #51: @Katalin181 ed ""RT @bbcle: Do you have a minute to spare to #learn some English?Phil's #altogether pleased to be able to explain 'all together' and 'altog…"""
67,0," #65: @Homayoon ed ""RT @spalpeenuillean: @AJEnglish Just look how big Iran is compared to Syria, Iraq or Afghanistan. The US got their ass handed to them in th…"""
68,3," #44: @дэф with luv ed ""RT @nationsgroups: you know this is actually kind of a bold statement. it’s like he’s tearing down the boundaries and rules of what the met…"""
69,3," #18: @💙💙💙 ed ""Know fuck all about football but my brother/dad are very happy about this win so I’m gonna celebrate with them 😂😂😂😂"""
70,3," #11: @Dave Matt ed ""@TheWalkingAbed @UpToTASK I read an article where Stan Lee said that he wanted superheroes to have the same kind of problems that we did. So they struggled to pay rent and would have relationship problems"""
71,3," #34: @Dalia Al Mokdad🌿 ed ""RT @adyanfoundation: We are deeply saddened to announce the passing of Jean Vanier, the founder of L’Arche, Faith & Light and an honorary m…"""
72,0," #15: @Lena Hansson ed ""RT @Feminist_Army: If a man told a lesbian woman she should learn to love dick everyone would be outraged. But when trans women say it, it’…"""
73,1," #62: @Vagabundo ed ""RT @HeerJeet: 1. It increasingly feels like Biden, if he's the Democratic nominee, will be Hilary Clinton 2.0, but worse. A campaign based…"""
74,4," #52: @Hannah Forest 🔴⚪️⚽️ ed ""Luton being back in the Championship is a great local game for me next season! If Notts County are feeling glum about the prospect of non-League football they only need look towards the Hatters for inspiration.  #nffc #notts"""
75,3," #88: @The Chronicle ed ""EDITORIAL COMMENT: Discipline, patience, focus key to stable, new prosperous economy https://t.co/h7zuyauW0f via @ChronicleZim"""
76,3," #14: @shaima ed ""RT @KM__unknown: “The Qur’an absorbs sadness (& grief) from the heart like a sponge. If you read the Qur’an while sorrowful (& disheartened…"""
77,2," #66: @One US Citizen ed ""RT @get4208: @IlhanMN Do you express this to CAIR, ISIS, and the Muslim Brotherhood? They maximize terror, I think we should start with tho…"""
78,3," #32: @Ntsako Master Maluleke ed ""RT @CyrilRamaphosa: I wish our Muslim community - our neighbours, our friends, our colleagues and classmates - a blessed Ramadan Kareem for…"""
79,3," #8: @Sean Singleton ed ""RT @WrightmanAIM: Very logical article as to why the author believes that the Trade War with China will be short lived and why one should p…"""
80,4,"Tweet #40: @Nic Ransome tweeted ""@GDRNorminton It’s very good at appearing to be inclusively masochistic. Really it’s about convincing the majority to hurt themselves irreversibly while the rich get off."""
81,4,"Tweet #59: @LenLen🌸 tweeted ""Ang hirap magbigay ng advice sa taong depressed pati ako nalulungkot huhu"""
82,3," #51: @Agop tekin ed ""@Erdumlu https://t.co/8dX4W0IHd0"""
83,3," #22: @tabita ed ""RT @farbodsaraf: Dear high school kids, learn1 public speaking2 writing well3 storytelling (see 1-2)4 critical thinking (not cynicism)…"""
84,3," #37: @Zebe Qadar 🇵🇰 ed ""@peaceforchange We support Pakistan Army and have full faith in Allah's way."""
85,2," #44: @CURRY VON ERICH ed ""btw when I say “Trump will ban Muslims celebrating it” I meant Ramadan not a potential terror attack"""
86,3," #14: @Delainaa ed ""Prosperity, happiness, and peace"""
87,1," #51: @Azael ed ""@FrankieArrocha buena lectura, la gente le tuvo aversión al partido panameñista en esta elección como nunca antes en la historia, ni al PRD en plena crisis con Noriega le pasó algo así. Todo lo q  huele a panameñista se le dio raya."""
88,0," #34: @Ahmed Safder ed ""RT @iamShaniera: Anger is not a part of the nature of Pakistanis and we definitely should not be labelled as such.If we are a little bit mo…"""
89,3," #4: @chalkerjas ed ""@ChrisOpfer Dude became an ordained Catholic deacon since then. From this side of the paywall I'm guessing he's a life- begins-when-the-sperm-hits-the-egg kind of guy."""
90,4,"Tweet #15: @Benjamin Moser tweeted ""RT @AuschwitzMuseum: .@redbubble Do you really think that selling such products as pillows, mini skirts or tote bags with the images of Aus…"""
91,4,"Tweet #69: @Nathan tweeted ""Ever wake up regretting it?"""
92,3," #56: @Hubb Business Directory ed ""Have a great Tuesday: enjoy the day. #Business owners"""
93,4," #66: @仙道 #アルビロス ed ""今日は、Xmasプレゼント当たってから行こう思いつつ、なかなか行けてなかった、up set様へ行きました～😆🙌バスケにハマってから服の路線変更したので旦那もかなり気に入った様、、！常連になる予感😏✨またお願いしまーす！🙇‍♀️@upset_street10"""
94,1," #59: @bicarbonato de ódio ed ""Todo dia o mesmo Felipe sentindo náusea matinal parece que tô grávida inferno."""
95,4," #45: @えらー＠おでこ拡大中 ed ""@glum_joji 勉強してください"""
96,2," #18: @and they were roommates ed ""RT @A_Chesworth: Six years ago, @AdamAdamator and I pitched ‘Fright Train’ to Disney. The Depression-era versions of Mickey, Donald, and Go…"""
97,2," #10: @Nsonowa Magwaza ed ""We have incredible leaders in this country:Mmusi Maimane (DA)Terror Lekota (COPE)Kenneth Meshoe (ACDP)Kanthan Pillay (ZACP)Why would you keep on voting for liars and thieves?"""
98,2," #53: @Agata :) ed ""RT @royalfamilypl: Królowa Elżbieta została zapytana o narodziny syna księcia Harry'ego i Meghan podczas lunchu na zamku w Windsorze. https…"""
99,3," #16: @そてのんね@相互フォロバ100% ed ""RT @mercari2025: https://t.co/HZ3J4oz7V8"""
100,0," #70: @People-Bot ed ""Ben is  really aggravated by Ella because she eats cheese but that's not true"""
101,0,"Tweet #59: @ʜɒɿƨʜɒl ⚡╭∩╮（︶︿︶）╭∩╮ tweeted ""@Mitika_A More irritating is to see people unnecessarily praising those horrible looks 🙄 #MetGala #MetGala2019"""
102,1," #66: @Aimee ed ""RT @RobGMacfarlane: Word of the day: ""flygskam"" - lit. flying-shame; the environmental guilt arising from air-travel (Swedish); cf ""vliegsc…"""
103,3," #52: @Leicester Xtra ed ""“The courage the players showed was fantastic and it gives us great possibilities going forward.”- Brendan Rodgers. https://t.co/BRAXnujhlQ"""
104,2," #12: @νι@.@ ed ""RT @shininghaechan: Jisung who got a scare from Chenle who was wearing a mask 🤣https://t.co/X3L0pmZtH2"""
105,0," #5: @Abdelrahman ayman ed ""@HappyCanadian3 @GabrielLander1 @familyunequal @realDonaldTrump Who said israel offened egypt to take ghaza ??! Then egypt refused ! .. You know egypt took ""taba "" in 1989 after 16 years of the war .. Israel want any meter anyway"""
106,3," #49: @Jas 🐳🐳🐳🐳 ed ""Cooper's on the bed. I tell him to get off.. Spencer goes you need to talk to him like your students be a little more assertive. To my kids when they aren't listening I say. Hi friend I've asked you two times next time I'm gonna talk to your mom. I tell Cooper to get off"""
107,3," #41: @SpaceForceChewie ed ""RT @ScottforFlorida: What's next? Will we have to register sharp knives? Maybe @AOC will make us register every time we buy meat as part of…"""
108,4,"Tweet #22: @Sindi tweeted ""RT @realseanaddison: Upset - John 14Weak - Psalm 18:1-29Lonely - Psalm 23Sinned - Psalm 51Worried - Matthew 8:18-31Anxious - Philippia…"""
109,4,"Tweet #15: @Michael Quinn tweeted ""Drinking games and overlong mourning the dead scenes. What they did to Brianne was terrible and basically every scene of episode 4 was a waste of time. We are now down to two remaining episodes in which some kind of ending has to be contrived that will satisfy people and I just"""
110,0," #61: @andeng ed ""@jhonnalizM @ReiGermar SANA MAGKAPICTURE DIN AKO NG GANYAN!!!😭 I envy you, ate jhooo huhu"""
111,4,"Tweet #34: @Chowkidar Debajyoti Mukherjee tweeted ""RT @NoaHakim: We just had a minute of silence in the embassy @IsraelinIndia🇮🇱🇮🇳, commemorating the Israeli #MemorialDay.Today we all in #I…"""
112,4," #26: @SITI Networks ed ""@dbaanoop Dear Anoop,We regret the inconvenience. Kindly DM us your registered mobile number & VC number. Our customer care executive will connect with you shortly.Team,SITI Networks"""
113,0," #8: @Ola Kehinde #GDGIkorodu ed ""@Franklyn_NERD @Sirborowski haaa... 😂🤣😟😭😭😭baba, you don't know what God has done for you. I envy you. This shirt n tie don taya me."""
114,2," #75: @あかめのかえる ed ""@_stage_fright 私のすむ街には　見当たらないユリノキ　花が咲いた姿も　見てみたいです！"""
115,4," #41: @🏴󠁧󠁢󠁳󠁣󠁴󠁿GREIGE 🏴󠁧󠁢󠁳󠁣󠁴󠁿 ed ""@UnionMegan @Jonathon_Shafi Yes the majority of the 40(?) BritNats were good spirited( well they stood there with a glum look on their faces) but there was a few ""shouting nasty abuse"".Granny shouting ""Braindead "" was just embarrassing though."""
116,0," #38: @LightsView ed ""@terence_mapfumo @djcoolestkid @ManUtd Yes I acknowledge that but it stems from days of Jose when players were forced to play through injuries because Jose frowned upon any player that hit injured. So it got aggravated. Wait and see him full rested and fit. He is our best defender."""
117,3," #89: @Poonkothai ed ""RT @SadhguruJV: Devotion is about you. Maybe you use another as inspiration, but you change your quality into a profound sense of sweetness…"""
118,3," #24: @CKGuruprasad ed ""Some helpful tips for conquering ""FOPO"": https://t.co/pqgaBGEuwt"""
119,0,"Tweet #6: @2naa tweeted ""Its good when it rains tho, yet soooo irritating when going outside :/"""
120,3," #11: @KAJAL Trends™ ed ""RT @MsKajalAggarwal: Good luck and congrats for your first production, looks super interesting @sundeepkishan https://t.co/r8kn32N9XR also,…"""
121,4,"Tweet #62: @dd tweeted ""@doon2016 Fuck me....they are hurting so bad 😂😂"""
122,2," #42: @Michael Eichert ed ""RT @YairNetanyahu: Unbelievable! Twitter is shutting down accounts of conservative Americans, while keeping the accounts of Hamas @hamasinf…"""
123,2," #26: @Nati ed ""@knipoog50 @afagerbakke @ynkutner Hamas makes war of terror. Is that means for you a war too?"""
124,0," #49: @Patrick ed ""Game of Thrones season 8 episode 4: Dragon scene leaves fans outraged: 'Was this necessary?' https://t.co/6nGFF0JxOh https://t.co/pDUFU9IDAz"""
125,3," #34: @Tova Cohen ed ""RT @Journotopia: Official Reuters statement:“We are enormously pleased that Myanmar has released our courageous reporters, Wa Lone and Ky…"""
126,1," #73: @Bub ed ""RT @HeerJeet: 1. It increasingly feels like Biden, if he's the Democratic nominee, will be Hilary Clinton 2.0, but worse. A campaign based…"""
127,4," #24: @❥ LEE CHAN ❥ [BTS VIP × J-34] ed ""RT @skzclips: RT THIS SEUNGMIN FANCAM OR ELSE 10 YEARS OF BAD LUCK https://t.co/atzAz5nlbk"""
128,3," #2: @ℭ𝔢́𝔩𝔦𝔞 ed ""@RossetEmma Bon courage 😂😂😂"""
129,4," #56: @ゆーすけ ed ""Alice or Guiltyを夏来と隼人と旬で踊らせたらエロくなった( °_° )"""
130,1," #39: @Ignazio Palmisano ed ""RT @matthewferner: One day, we will look back at mass incarceration and the American criminal justice system, w/ its vast cruelty and dehum…"""
131,3," #35: @Hannah ed ""reminder that santana lopez and brittany s. pierce were ALWAYS in love and that Brittana is the best canon glee ship there ever was."""
132,3," #25: @Joe Viray ed ""The one player I respect the most in the Rockets is PJ Tucker. No extra shit, not trying to sell anything, no complaining. Pure hustle and determination. You gotta respect that."""
133,0," #72: @Iestyn ap Rhobert ed ""RT @ScotNational: The Scottish Secretary's answers prompted a heated response from BBC Scotland's political editor https://t.co/Fepi2AkZiA"""
134,3," #7: @Ledyard CT Democratic Town Committee ed ""RT @DrLeanaWen: This week is National #NursesWeek and I want to express my deep gratitude for the nurses who serve our more than 2.4 millio…"""
135,3," #32: @レーシングミク2011ver.(bot) ed ""@Cheerful_miku ごめん。対応中です。　って言えってマスターが・・・"""
136,4," #41: @𝒷𝒶𝒷𝓎𝓈𝒶𝓎𝒶𝓃𝑔👻 ed ""RT @itsmeaidil: Sometimes you’re going to lose certain people in your life and it’s gonna hurt like hell. You gonna feel like you’ve lost a…"""
137,3," #50: @風の子 ed ""@GoloSick 石アテナとクリフィンは今じゃなくてもええんちゃう？あと土強化するならジークフリートよりダーントの方がええで"""
138,3," #1: @Punkrabbit ed ""@R8DERX075 Incredible. Simply one of the best live bands in the business. The Spanish never cease to amaze me, they seem to know every single word of every single song."""
139,1," #50: @i h8 eunsangists ed ""@ilyohans omg the distaste"""
140,3," #13: @christian 💭 ed ""RT @echrstian: I'm ready for the weekProductivity at its peakJoy beyond limits, I speakStrengthened to get through, not weakLed by the…"""
141,3," #10: @Razaklevelz ed ""RT @muftimenk: Soften our hearts for #Ramadan. Renew our link with the Almighty & celebrate revelation of the greatest message from our Lor…"""
142,3," #2: @K. Madhusudan ed ""@ani_digital @ANI Open msg to SC Benches: Sirs & Madam , you may have given the CJI a "" clean chit  "". However the HUGE Trust deficit existing between SC and "" We the People"" has only widened. Infinite time given for Nehru-Gandhi Dynasty cases, but NOT to "" We the People""!"""
143,5," #59: @Reebehl El-Hage ed ""RT @TheMarkTwain: Do the right thing. It will gratify some people and astonish the rest."""
144,4,"Tweet #3: @💧Trust The Space Invader tweeted ""RT @colonelhogans: Rumour has it that many @LiberalAus MP’s are very upset with The Shitagraph for their front page filth about Mrs Anne Sh…"""
145,0," #49: @Amanda💓 ed ""RT @OutkastDom: I went from sad to heated aint that a fuckin bitch"""
146,0," #80: @NARENDRA NATH ed ""@TheLinguist5 @smritiirani Do that correction needs to be so harsh? She happily ed her daughter's achievement. She deserves better treatment..."""
147,4," #7: @Paul Daiker ed ""RT @BillKristol: For some reason, the president is upset at the idea of Congress doing its job. Of course Special Counsel Bob Mueller shoul…"""
148,3," #52: @Maina Kageni ed ""RT @Stevemulwa9: @ItsMainaKageni @Classic105KenyaLet me enjoy the music 🎶 🎶 🎸 🎻 🎶 🎶 🎸 🎻 🎶 🎶 🎸 🎻 🎶 🎶 🎸 🎻Mimi Sina pesa......Kitengela tuk…"""
149,3," #35: @RachelLindaS ed ""RT @DWNoone1: DB Cooper plane ticket. Northwest Airlines-Portland to Seattle. 11/24/71. With tax it was $20. FBI did not release this for o…"""
150,4," #38: @be cool honey bunny 🌬 ed ""@papaya__love @jaesic_ @Coalescentz_OW @saamxoxo__ Exactly but since ppl wanna he abuser apologist so bad and deny its authenticity here is an actual copy of it"""
151,0,"Tweet #26: @¡KRISss🌵 tweeted ""I'm a mess and annoying, sorry"""
152,3," #53: @aye you ed ""@lyalitza_ Yes but it just means to work when you have to and don’t be lazy, if you can sleep sleep but if you have stuff to do do it. It’s also talking about spiritual sleep too, wake up and realize that we all need Jesus in our lives :)"""
153,4," #50: @jason rowland ed ""RT @PamelaGeller: Not Philly “Fanatics”—U.S. Muslim Children (And Adults) Are Taught “Classical” Islamic Jew-Hatred: We will chop off their…"""
154,4,"Tweet #16: @sass tweeted ""RT @buffyusuke: Mishima has been an unemployed clown for months now and keeps sitting outside Big Bang with a sign asking for ""spare coochi…"""
155,4," #82: @Movie Plot Bot ed ""Never land a spellbook unless, in this strange universe, you're The Mournful Anal Fissure, in a movie from The Oprah Winfrey Network. (☆☆☆☆☆)"""
156,3," #78: @Accocity ed """"May Lord Vishnu bless you with prosperity and wealth on the occasion of Akshaya Tritiya.""From Accocity Team #AkshayaTritiya #TuesdayThoughts https://t.co/L6Fkbh2KvG"""
157,3," #51: @HuffPost UK ed ""RT @saramayspary: Good morning Twitter. Looking for experts to explain different mortgage types to me (for a story, not my personal life) e…"""
158,0,"Tweet #100: @Cristi Neagu tweeted ""@jenny35611641 @jimeadon @Telegraph In the first half of the 20th century a very angry man with a funny mustache would set out to unite all the countries of Europe as equals under the rule of Germany. International socialism. Precisely what the EU is. We all know how many millions of people died because of that."""
159,4,"Tweet #58: @steph tweeted ""RT @FCNazalona: I’m so fucking sad and depressed"""
160,4," #46: @rae ed ""@squintsNY I’m so upset man. I’m not okay."""
161,3," #48: @Haris ed ""@sanjuydv @RJDforIndia @laluprasadrjd No one like lalu Ji! Almighty bless him with good health nd most probably he will get out of jail soon inshallah will pray for him in this holy month of Ramdaan!"""
162,0," #53: @英語を頑張りたい人 ed ""RT @LukasGraham: Don’t let people disrespect you. Better to walk away, & still respect yourself. Walking away should be done silently & ca…"""
163,4," #66: @𝓔𝓵𝓵𝓪 ed ""RT @poeticalmsg: Appreciate everything, regret nothing."""
164,3," #15: @Jaweriaabalochh ed ""@BTS_twt 🤩 we are too happy hobi😍 just enjoy there and make good memorable moments.. have fun🤗🤗"""
165,4,"Tweet #55: @βębś tweeted ""it doesn't mean i'm smilling, i'm not hurting."""
166,3," #16: @mariakelly ed ""@Dave_Mitchell73 @ImaniKushan @psbh_ @POTUS Wow as a stuntwoman I too am broken too many car hits and like you I would do a car hit and go back the next day! Sorry you have black lung! You sacrificed so much to keep our caiubtry warm / trains power and I want you to know that I care! Not looking to defund your courage and"""
