,text,label
27,"Klik Klaim Hadiah 0 rupiah dari Tokopedia tapi malah tidak di kirim sampai satu minggu. Padahal stok masih ada sangat jelas masih tersedia di bar ijo. Dicek sedang dikirim dan ada nomor resi, tapi tidak valid. Entah yang salah di seller atau ekspedisi. Mengecewakan pelanggan baru yang baru gabung di Tokopedia. Semoga kedepannya tidak terjadi lagi.",1
28,"barang diterima sesuai pesanan, thanks joyko",2
29,"Produk baik sesuai deskripsi, cs juga sangat responsive dan helpful. Thank you :)",2
30,"sangat tidak recomanded, Harga promo tp masih tetap mahal dari toko sebelah bahkan lapak online lain nya. Official store mempermainkan harga ??, mau monopoli tokopedia ??",1
31,barang tidak sesuai,4
32,"Awalnya Saya Tanya 9 Warna, semua ready, setelah bayar ( 27 jam kemudian ) Baru dibilang beberapa ( 4 Warna ) habis. Jgn kayak gitulah, jadinya Sy harus Cari lagi warnanya",4
33,"Barang sesuai dgn pesanan, seller responsif, pengiriman cepat. Terimakasih seller dan tokopedia, smg sukses selalu.",2
34,"parah sih bukunya ada yang sobek, lain kali cek dulu kondisi bukunya sebelum kirim",1
35,BOCORR isinya,4
36,"Murah dan mudah digunakan, setidaknya nya bermanfaat dan packing cukup aman tebal bubble wrapnya. See you again",2
37,"barangnya asli, adminnya responsif, rekomen deh buat beli LM disini pokoknya . next bisa beli lagi ksini, jadi aman ga perlu keluar rumah. pertahankan ya seller!",3
38,Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,4
39,Alhamdulillah sampai,2
40,recommended seller..udah order yg ke 16 kali,3
41,"produknya ok sangat bermanfaat utk mrnjaga dan merawat kebersihan anabul, sudah langganan beli .. terimakasih seller",2
42,"Puas sekali dengan seller tineco. Sangat fast response, barang yg dikirimkan jg dengan quality baik. Proper :)",3
43,Kapok belanja disini lama banget pengiriman nya!,1
44,"Saya pesan meo, jelas2 tuna in jelly karena kucing saya sukanya itu.. dikirimnya tuna� bisa baca gak ya!!.. trus mau diapain doank??.. buang??.. kalau pesan harus sesuai doank.. barang kamu kosong?? Bilang!!! Jangan main ganti sembarangan�",0
45,admin ga niat kerja.. komplain tidak selesai.. sudah minta bintang.. ya sudah kasih bintang 1. kasihan bosnya punya karyawan yg tidak ada empati sama komplain (tidak pernah update perkembangan komplain),4
46,Thanks gan paket udah mendarat dengan selamat...pelayanan ok mantab..super fast respon..top very recomended seller,3
47,bgs bgt. anak2 suka sekali. terimakasih,3
48,"pelayanan sangat buruk, no debat!",0
49,JANGAN MAU BELI DI SINI. CEK REVIEW PENJUALAN NYA BANYAK YG RUSAK DI KIRIM. SAYA KORBAN JUGA. CEK FOTO BARANG YANG SAYA ORDER. SUPAYA YANG LAIN TIDAK JADI KORBAN.. KACAU TOKO INI MENJUAL BARANG RUSAK.,1
50,"barang tidak ada, komplain tidak direspon...pelajaran buat yg beli disini cek hati2 saat datang",1
51,"Packingnya rapi, bagus barangnya pengiriman cepat sellernya responsive ok banget deh bakal pesen lagi! Makasih seller!",3
52,"setelah minum jadi mual2, beda rasanya dengan yang biasa",4
53,"Packing kurang rapih, pinggir buku menjadi rusak",4
54,gabisa di pakai kcewa dahhh,4
55,"colokan adaptor mengalami kerusakan, respon seller butuh berhari2, diajak diskusi untuk cara memperbaiki sendiri tidak dibalas, akhirnya repair sendiri",1
56,"bahan adem tapi tipis sekali, terawang klo dipakai. sesuai dg harga lah... Bahannya adem.",2
57,Kualitas cetakan buku kurang baik,4
58,"barang bagus sesuai harapan,pouchnya mantap cukup bagus.service seller ok buanget.terima kasih barang sesuai iklan",2
59,Kualitas produk sangat baik Produk original Harga produk sangat baik Kecepatan pengiriman sangat baik Respon penjual sangat baik,3
60,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,2
61,ckup bagus..terimakasih,2
62,barang sesuai dan pengiriman cepat,2
63,"pia nya sudah sampai kak, tp pas di buka pada hancur smua. padahal sudah di bubble wrap",4
64,"barang bagus, meskipun agak panas",2
65,barang tidak sampai. tdk ada solusi,1
66,"Recommended seller. fast respons, kualitas barang cukup, sesu�i harga. terimakasih",2
67,"Packing rapi dan memuaskan, mantabh",3
68,"Produk cepat sampai dan sesuai deskripsi, tapi chat nya slow respon overall bagus",2
69,"Jahitannya rapi. Ukuran sesuai. Bahan agak panas tp masih nyaman dipakai, Sesuailah dengan harganya. Trims ya seller...",2
70,harga segini kurang worth it.bahan tidak tebal. ada yang lebih murah detail dan bahan lebih baik. sorry,4
71,"Barang Rusak , Ga Guna Sama Sekali ... Parah",0
72,pembelian ke 2...besok2 packingnya tolong di benahi...cuma bubble doang lakban seadanya...bolong sebelah,1
73,"rekomended seller, barang sesuai deskripsi tingga; dicoba saja, niceee",3
74,respon lambat,1
75,Data sering error dan hilang ??,4
76,sangat buruk dan kecewa pakingan gak rapih cuma pake bubble warp aja jadi pas paket sampe udah sobek.,4
77,"busa doank,gak ada mika bwt pelindungnya",0
78,"Mengenai barang sdh sesuai...., respon sangat lambat. Saya minta dikirim pake sameday (6 jam). Barang baru diantar dan keterima di hari ke 3 (cat : transaksi sebelum jam 11 siang). Packing  barang saat pengiriman sangat seadanya. TIdak rekomendasi deh klw buat yang barang pengen buru-buru diterima/dipakai.",1
79,Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,2
80,"Pengiriman cepat, packing rapih dan aman. Kualitas suara standar sebanding dengan harga",2
81,obatnya cocok buat doggy yg berjamur . sdh beli beberapa kali,3
82,pengiriman cepat banget pokonya the best sukses selalu ??????????,3
83,barang tidak sesuai dgn pesanan.. pesanan IMO z7 yg di kirim merk Huangmi... ??,4
84,mantep bgt pokoknya bagus bola nya warna warni dan gak ada yang penyok.. bagus deh anak saya suka ??,3
85,gak bisa di pakai??,4
86,Cepat sekali pengirimannya. Seller ramah & kualitas barangnya mulus. Recommended,3
87,"mantap pengiriman cepat dan amanah sesuai dengan note yang di tulis , terima kasih kaka",3
88,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",4
89,"bgs brgnya, semoga awet.",2
90,barang dikrm beda dgn yg pesan,4
91,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",4
92,"Product sesuai deskripsi, packing rapih. Beneran fast charging ! Terima Kasih baseus !",3
93,"Barangnya bagus banget, response nya cepet, komunikatif dan sangat membantu. Makasih ya kak semoga semakin sukses yah",3
94,"kemasannya memakai plastik, mudah mangap, rawan bocor, tidak sebanding dengan harganya",1
95,"Saya sudah tulis motif iron cement, tapi ternyata ga ke save. Penjual ga tanya motif dulu, malah langsung kirim motif acak. ??",1
96,ukurannya lebih kecil dari 40 pada umumnya. sisanya ok.,2
97,barangnya bagus sesuai pesanan,2
98,pengiriman express...burungnya lincah banget..top markotop...,3
99,"bahan nya tipis,jahitan kurang rapi",4
100,sesuai pesanan. bahan nyaman dipakai.penjual fast respon. packing juga rapiii...,2
101,"pesan yg eyeliner putih yg dateng malah yg itemmm, hmmmmm, tolong lebih teliti",1
102,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",2
103,"Alhamdulillah sudah sampai sabuknya, keren cepet nyampenya pada hal baru kemaren sore pesannya .",2
104,"Maaf baru kasih ulasan.. Buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya.. seller, dan kurir oke",2
105,"rasanya, Hambaaarrrrrrr",0
106,produk bisa dipakai dg baik. semoga awet. fast respon.,2
107,"barang ini tidak dikirimkan, next mohon lbh diperhatikan",1
108,"Barang original dan masih segel, proses cepat, tidak sampai satu hari barang sudah sampai padahal pengiriman menggunakan bebas ongkir, barang dibungkus dengan bubble wrap tebal saat pengiriman, jadi aman.",2
109,"Packing dan kemasan Baik dan aman, Jumlah order sesuai dan telah diterima komplit, Terima kasih semoga batere dan lainnya awet digunakan.",2
110,"Gak guna dibeli, aplikasi semua gabisa. Moka Cashlez semua gabisa. dulu beli apa juga ga connect. no recomended. harga mahal. support jelek",1
111,ga efek. buang duit mending beli parfum smprot biasa.,0
112,Dua hari udah sampe. Gampang banget di rakit. Besinya lumayan kokoh dan sellernya sangat ramah. Terima kasih,2
113,Ada beberapa kalimat yang kosong. Saya cukup kecewa dan hal itu sangat menggangu saya ketika membaca.,4
114,barang yang dikirim mantapp.. bahannya tebal dan tahan air.. cocok utk di air.. seller juga fast respon.. thx u,3
115,mau cancel ganti tgl pengiriman aja byk cincong,0
116,butut konyol minta kuning di kasih ijo stabilo barang jelek,0
117,terimakasih barangnya bagus banget,3
118,"hati2 belanja disini dapet unit cacat dblg suruh ajukan komplain nti mau dituker trnyta tokonya sndiri yg blg gabs dituker, official store abal2 ini mah. ga jelas solusinya gmn",1
119,"Produknya bagus n sesuai dgn pesanan sya, seller mantul makasih skss selalu",3
120,"The best pokoknya, harga boleh murah tapi kualitas tetap nomor satu ????",3
121,pelayanan buruk tidak ada respon warna baju tdk sesuai di wa dan chat via toped gg ada respon beda jauh sama yg saya punya yg beli d toko ini,4
122,Hari ini baru terpasang. Ternyata ada satu palang yg ukuran pendek cacat..bengkok dan cedok bekas besi ditekuk..akhirnya saya pindah posisi palang tersebut dibagian tengah dalam..secara keseluruhan barang baik. Mungkin perlu ditingkatkan QC nya saja.,1
123,Mantaab P00000L.... ?????????? udh langganan...keluarga sangat syukaaaa...trims ??,3
124,tidak sesuai pesanan ...barang yg kirim kurang... penjual asal paking saja tidak teliti,1
125,barang nya salah krim minta kampas rem di kasih oli gear hadeh ..kecewa lah,4
126,pengemasan cepat dan datang nya juga cepat. thank you seller and kurir,2
127,"Barangnya bagus bangett, dengan harga yang affordable dengan kualitas yang lumayan gokil sihh",3
128,barang ga sesuai sama permintaan. pdhl udh chat dl an untuk memastikan pesenan motif dan adh di ok in. tp .alah yg dtg tdk sesuain.,1
129,PO udah sebulan gak sampai cm d kirim voucher dan di janjikan minggu k 3 bulan juni di kirim .. cuman sampe skrg udh akhir bulan juni blm terima juga � di chat gak balas???,1
130,Ukuran sesuai. Bahannya berkualitas. Nyaman dipakai si kecil. Modelnya keren ??.,2
131,Barang jelek sesuai harga,4
132,mantaaapppppp battt. rasa renyahhh.......hrg FS 30k... free ongkiiir pula.... luv...luv....luv...??,3
133,bocor payahlah ga di periksa dulu,0
134,"Kualitas kurang bagus, kertasnya tipis, bukan buku original",1
135,"Yang datang merk BUCK-i entah karena promo atau apa, tapi belum sempat take a picture, nanti saya update lagi ulasanya,barusan saya search buck-i knife, lebih murah.kalau memang mau ngadain promo, jual barang yang bener,saya kecewa sekali dengan brand GM yang sudah saya percaya berkali kali,",4
136,"pengiriman cepat, adminnya responsif, buku kualitas bagus banget.",3
137,Gabisa dimainin di ios versi 13.4 dan keatasnya! Maksimum ios versi 13.3 selain itu gabisa dipake!!!,0
138,"Pesen tanggal 10, barang baru sampe tanggal 20 padahal sesama Jakarta, dichat katanya udah dikirim dari tanggal 11, padahal pas di tracking tanggal 12 aja tulisannya reschedule pickup karena parcel belum ready untuk dipick up. Ini Adidas Official tapi pelayanannya gini hadeh",0
139,"Proses dan pengiriman lama, gak recomended buat yg ingin cepat dapat vitamin di masa pandemic kaya skrg.",1
140,barangnya bagus. lucu. semoga ada versi besarnya. untuk anak kelas 1 SD gitu. hehehe,3
141,Sangat kecewa. Produk terkesan sudah dipacking ulang (lembaran dan berat tidak sesuai dengan yang seharusnya).,4
142,Bebas bahan kimia Proses cepat Hemat listrik ? Boros listrik Bisa muat banyak Gampang dibawa-bawa Bahan kokoh Gampang dipakai Penjualnya ramah banget Proses pesanan cepat Packaging aman ?? Packaging rapi Respon penjualnya top,2
143,Keras sekali. Sampai tangan sakittt . Yg dijual paket bagus. yg dijual lepasnya beda bgt. nyesel beli banyak.,1
144,ternyata ukurannya kecil di bawah harapan,4
145,"gak bersegel. di packing luar dan dalam produk nya tidak bersegel. info dari admin seller setelah chat, produk memang tidak bersegel dan info nya di klaim oleh admin penjual original,, agar di cantum kan di deskripsi agar pembeli jadi tau, dan layak jadi pilihan atau tidak nya untuk di kulit wajah nya.",1
146,saya tidak pernah dikecewakan oleh toko ini. pokoknya untuk urusan videografi dan fotografi saya senang belanja di sini,2
147,Mantaap...rekomendasi banget murah bukan murahan dan enak rasanya,3
148,mantap sekali klu bisa kasih bintang 7 wkwkkwkwk,3
149,Repurchase warna yg beda. Toko fast respond dan sesuai review sebelumnya bahwa item sesuai dan bahan bagus lgsg menyerap ke bahan canvas. Sukses selalu????????????,3
150,"Hmmmm barang kurang kokoh, tidak bisa utk menyimpan barang berat. Doyong. Kemahalan utk tingkat kekokohan seperti ini� sorry �",4
151,"Barang terlihat murahan, sangat keset dan sulit saat ingin membuka payung maupun menutup payung, nyesel deh beli",4
152,"Wanginya enak, respon seller n pengiriman cepat",2
153,"diskon nya nipu,barang nya ternyata sesuai dengan harga",1
154,Ngaco banget pesen mouse tapi gak lengkap. Gak ada penutup batre sama bluetoothnya,0
155,"beli barang tapi barang nya sendiri tidak pernah datang, sementara status selesai & pengembalian uang belum juga dilakukan sampai saat ini",1
156,"pelayanan mantap...langsung kirim dan sampainya cepet banget,packingnya juga ok banget??????",3
157,"silica gel nya lembab, packing kurang rapat dan rapih. seharusnya di packing dengan rapat",1
158,"barang tidak ada, komplain tidak direspon...pelajaran buat yg beli disini cek hati2 saat datang",1
159,"Admin toko ini tdk punya sopan santun, bukannya cari solusi msalah, ini malah emosional dan hina pembeli. , gk pnya etika dan gk sekolah x, ,",1
160,"barang datang dng dus yg tidak layak banget,buat kado jd malu dgn kondisi mengenaskan",4
161,Barang yg dikirim gak sesuai promosi. Mengecewakan sekali!!!,0
162,Seller bertanggung jawab keren!,2
163,"review barang: kualitas bahannya cukup bagus, tapi gak empuk gmn jg sih, kalo duduk lama pantat pun masih terasa panas. review penjual: pesan sabtu siang, hr rabu dpnnya baru dikirim. pdhal butuh cepat buat yg lagi sakit ?? maaf ya gak bs kasih Bintang 5.",4
164,Barang tidak bisa digunakan dan tidak ada CD Driver nya,4
165,"Ya utk harga 100an lumayan worth, cuma rgb kanan dan kiri ga selaras sih, sama ada deflect gara gara pengiriman mungkin.",4
166,"Proses kemas-kirim : lumayan cpt. Packaging : bubble wrap tipis. Sesama jakarta masih aman. Dus agak penyok. Kualitas barang : aman, berfungsi. Compatoble dg cam iphone 8+ tanpa apps tambahan. Tapi kalau mau dengar hasil rekaman copot mic dulu",2
167,"barang yang di gambar itu sudah saya bereskan ulang . tatakan balon nya gak ada . sudah dikomplain ke pihak tokopedia , biaya nya sudah kembali ke saya tapi tetep ada rasa kecewa karna penjual lagi� tidak menginformasikan ketersediaan barang dan saya lagi perlu banget . maaf dikasih rate segitu .",4
168,"barang ok,tetapi batrai bocor parah,tdk ada niat memberi batrai yg baru.stiap x maen ga ada 1/2 jam lngsng habis.di cas jg lampu slalu merah.",4
169,"bad service pengiriman same day (gosend) melewati batas estimasi, jika tdk mampu melayani pengiriman sameday gosend sebaiknya di non aktifkan agar pembeli tdk bayar lbh mahal ongkir",1
170,"buat EMULATOR delay parah, sama deadzone di dua analog di emu ppsspp dan beberapa emu yg saya coba. intinya gak rekomen buat yg main emulator.",1
171,"Harga murah, respon penjual cepat dan ramah. Makin sukses ya.. trims",2
172,"ini pembelian kedua, tapi saya kecewa. pas beli pertama kali suka banget parfumnya makanya order lagi, tapi wanginya gak konsisten, beda sama yg sebelumnya terus kemasan jga keliatan kayak luntur gitu tulisannya, pas dipegang cat botol parfumnya luntur ke tangan",4
173,"dikirim tidak sesuai pesanan, proses lama sekali.",1
174,murah banget. kualitas bagus. nyaman dipake,2
175,tidak berfungsi untuk aki normal padahal baru beli langsung di cas LED indikator nya ngga jalan,4
176,Kualitasnya bagus. Berfungsi dengan baik.,2
177,"Barang pecah bagian atas , kecewa",4
178,ternyata tipis bahannya,4
179,Jahitan rapi. Modelnya cantik ??. Nyaman dipakai. Bahannya adem. Tidak menerawang.,3
180,"Emang harus hati2 belanja online ya, kayanya pas Beli ga ada tuh foto mukena �kombinasi�, tiba2 dikirim beda sama foto awal. untung tes Beli 1 sebelum beli puluhan untuk dikasih keorang. Cukup sekali aja Beli disini. Semoga bisa nemu toko yg amanah",1
181,"padahal masih segel Orion,,tp kunci yg seperti difoto tidak ada dalam kemasan!,coba komplain harus sertakan video unboxing sama kurir,,,ya gak kepikiran sampai situ.setahu saya klo produk baru masih segel ya harus jaminan komplit,,!terpaksa harus beli kuncinya sendiri,,,, KECEWA!!!!!!",4
182,top seller.. responsif dan btgg jwb,2
183,kemasan hancurrr pecah berantakan... ga jadi kepakai... ssmoga kedepannya lebih safety lagi packingnya...,1
184,Ikannya mati jadi saya kecewa ah,4
185,"Packing sangat baik. Buble warp sangat tebal. Pengemasan cepat, pengiriman kurir standar. Produk masih segel. Exp msh lama. Terima kasih.",2
186,"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",0
187,Barang nya kotor banyak bintik hitam dan bintik putih mungkin jamuran.,1
188,Bahannya adem. Nyaman dipakai.,2
189,Perlu hampir 2 minggu buat packing dengan alasan overload... 2 MINGGU LOH 2 MINGGUUUUU,0
190,Awet buat seharian ??. Puff-nya mudah dipakai. Gampang dibawa-bawa. Makeup jadi tahan lama. Proses pesanan cepat. Packaging aman ??.,2
191,belanja disini mantap pengiriman cepat dan barangnya rekomended dan packing aman dan rapi bakal belanja lagi disini insyaallah,3
192,kecewa,4
193,tdk sesuai warna pesanan,1
194,auhh bgt sma yg d gambar mentang2 pngguna baru dpt grtisan eh dpt nya daster 10rban d loak...????lucu tokped apa toko nya nih gak mau rugi...gak smpet foto sya ksihkan sma nenek sya.ampunn dah..,0
195,"tidak sesuai deskripsi, tidak sesuai gambar, ada bbrapa tombol yg tidak berfungsi, mau retur, mau ganti dg model lain yg ada backlight, ga masalah nambah biaya, tp respon seller biikin kecewa!",1
196,"Pengiriman cepat, packing aman ,suka sm produknya,trimakasih",2
197,Saya baru pakai ini krn habiskan stock yg sebelumnya. Yang skr kualitasnya buruk krn cair beda dengan yg sebelumnya tdk Cair. pdhal di awal saya suka produk ini. Disayankan saja kualitasnya turun krn dicampur cairan,1
198,Barang bagus sesuai deskripsi,2
199,"Respond seller cepat, pengiriman segera. Produk berkualitas. Mantap banget.",3
200,"terlalu tipis, tali earloop longgar",4
201,baru dipake beberapa hari udah rusak aja.,1
202,"Pengiriman lambat sekali, sangat mengecewakan. Ada pilihan pengiriman next day yg berarti pesanan akan sampai h+1 setelah pembayaran dilakukan. Tapi baru sampai 4 hari, itupun karena berkali kali dikomplain melalui whatsapp dan kolom chat di tokopedia.",4
203,Kualitas Produk Bagus. Produk Sesuai,2
204,"bahannya bagus , jahitan rapi , tebal tdk menerawang, udah 3x beli di toko ini dan hasilnya memuaskan ,respon penjual cepat dan kiriman jg cepat",2
205,"tidak sesuai foto, tdk ada tulisan photofast. bahan tipis ringkih.",4
206,"tripodnya, terasa sturdy cukup ringan, tapi tanpa manual. seller fast response,",2
207,Bau nya mengganggu,0
208,barang bagus..Bahannya adem. Modelnya cantik ??.,3
209,sdah sampai.. brang normal sesuai deskripsi.. pengiriman cepat..,2
210,"maaf kak kok sy pesen celana yg warna abu� malah dapet kaos dalem ya, mohon dibantu dong ka soalnya sy g enak ke sepupu sy tdnya mau ngasih celana malah dtgnya kaos dalem",1
211,"pengiriman oke, produk datang dalam kondisi baik, jumlah benar tetapi warna salah :( gapapa makasih yaa",2
212,"Produk Original, harga murah, packing bagus dan pengiriman cepat.",2
213,"bisa dimainkan dan aman, sellernya juga oke, akunnya juga gk pernah antri, selama ini oke2 aja",2
214,buruk,0
215,"salah kirim barang dan sudah dibantu bisa retur, namun setelah retur ternyata barang yg dikirim rusak (retak isi dalam eye shadow) nya, ini menunggu utk retur kembali. semoga dapat dibantu utk bisa retur kembali",1
216,Barang sesuai,2
217,SAMPAH BGT! MOHON JANGAN DI BELI PRODUK SE SAMPAH INI,0
218,"jahitan tidak rapih, Ada 2 jahitan sambungan depan Dan samping",4
219,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,2
220,"mantap, sesuai deskripsi dan gambar",3
221,"produk sesuai, pengiriman cepat. harganya 1ribu pas flash sale. oke banget.",2
222,"fast respon, recommended Seller",3
223,"klo bisa di test dulu , minimal nyala .kondisi barang yg sampai ke saya tidak bisa nyala , ada komponen dioda yg gak terpasang di power 5v input.overall sih ok , bisa sy perbaiki dari pada retur.thanks",1
224,anak saya suka ??. Aman untuk si kecil!.,3
225,Pengiriman lambat polllllll!!! Ga pantes jadi official Store.,0
226,"Thankyou madame gie , barang sudah sampai dan sesuai pesanan , aku suka",2
227,"barang pecah, ndak tau dr seller apa ekspedisinya, sayangnya saya selesaikan transaksinya sblm diunboxing, bgtu dibuka malah pecah.. barang cm dilapisi satu lapis bublewarp tipis. .. overall kecewa",4
228,seller sangat slow respon. pengiriman lama. baru kali ini ada yg sy kasih bintang 1. bukan krn barangnya tapi respon sellernya,0
229,Ukurannya sesuai. Bahannya adem. Produk sesuai dengan foto. Warnanya cantik ??.,2
230,dusnya robek dan terbuka kemasannyaa,1
231,"Sempat terkendala dgn pengiriman, tapi dibayar dgn barang yang bagus dan packing nya rapih.",2
232,tas nya kurang bagus .. how how,4
233,"Mantap, sesuai ekspetasi, proses cepat, sipp lahhhhhhhhhhhhhhhhhhhhhh ????????????????????",3
234,Tepat waktu dan sesuai pesanan,2
235,Sablonan kurang bagus. Pas di cuci ancur sablonannya,4
236,"Paket sudah diterima dan di test, lancar tanpa macet, pokoknya recommended buat yang byari printer connect cash drawer, ya panda aja, setting nya jg gampang",2
237,sesuai deskripsi...barang sampai dgn keadaan baikPackaging aman ??. Respon penjualnya top. Barangnya original ??.,2
238,mantul.... Kualitas bahan mantap ??.,3
239,Kualitasnya bagus. Kaki-kaki tripodnya kuat. Bahan tasnya juga bagus. Tebal sehingga tidak mudah sobek,2
240,"Pengiriman Lama , Tidak Teliti , Barang yang dikirim kurang , buang2 waktu",0
241,"Barangnya original, harga murah, pengiriman cepat. terimakasih tokopedia, terimakasih seller dan terimakasih untuk para kurir.. semoga Kita sehat selalu dan dijauhkan Dr segala macam virus.. Cepat sembuh Indonesiaku.. Love ya! ",3
242,"Fast response, diproses & dikirim langsung, dikemas dengan baik (rapi & sangat aman), pengiriman sangat cepat, harga ekonomis (murah), pesanan lengkap sesuai, kualitas produk sangat baik (lentur & melekat kuat), Trusted Seller, produk & penjual sangat direkomendasikan, Terima Kasih.",3
243,"kiriman sdh sampai....proses n pengiriman cepat, barang bagus sesuai pesanan n packing rapih...terima kasih, kak",2
244,kualitas sesuai harganya,2
245,"bagus, pengiriman cepat",2
246,Packingnya jelek. Barang sampai sudah rusak,0
247,"Pengirimannya cepat, besok langsung sampai. Nggak expect apa-apa sebenernya, tapi ternyata baguus. Bahannya lembut banget, gelap oke buat nutup mata + ternyata ada gelnya juga, kirain gaada hehe. Overall worth it siih first impression-nya baguus ????",2
248,"seneng liat mukenanya dtg, tp jd sedih lihat tasnya, tas rusak kok dijual",4
249,lama banget sampainya. ga terlalu rekomen untuk beli. seminggu lebih sampainya.,1
250,kurang lengkap.. eyeliner milky white nya tidak ada,4
251,Penjualnya ramah . Respon penjualnya bagus.Proses pesanan cepat.,2
252,"Ukuran XL baju oke, tapi celananya tdk XL kekecilan. Baju bisa Pakai celana tidak???? Baju yg dikirim celananya robek pas di jahitan, tdk di check dulu sblm kirim.",4
253,sangat istimewa sekali..,3
254,"parah kecil banget. padahal ukurannya L dan XL. ini mah buat anak SD kaga bisa buat orang dewasa, sekalipun dengan Negativean kecil.",0
255,"pengiriman lambat sekali (4 hari) stok tidak jelas , penjual bingung sendiri apakah stok masih ready atau tidak",4
256,Ternyata tidak sesuai. Tidak dpat dipakai,1
257,memuaskan seperti bisanya.. alhamdulillah dpt hadiah.,2
258,udah tambah buble wrap 5 tetap aja tipis packingan nya..,1
259,kaosnya enak di pakainya,2
260,Ukuran sesuai. Nyaman dipakai si kecil. Bahannya berkualitas. Proses pesanan cepat. Empuk buat jalan. Modelnya keren ??.,2
261,"packaging kurang, bisa diperbaiki lagi karena parfum tumpah",1
262,gak sesuai dengan gambar promo. contoh nya di gbar promo ada 3 pcs warna yg berbeda trus pas datang barang kok ke 3 nya semua warnanya sama semua,1
263,barang sudah sampai dg selamat..packaging rapi..3-4 hari dari proses pemesanan sampai tiba di Malang..terima kasih ??,2
264,tidak terlalu nempel dan susah nempel di dashboard !!,1
265,"Barangnya ternyata berkualitas walaupun harganya cukup miring - warnanya pun bagus, gak kelihatan kayak barang murah - puassss",2
