Unnamed: 0,text,label
63,kecewa berat kardus rusak kado,Sadness
64,build quality ok,Sadness
65,bahannya enak,Happy
66,pelayanan toko jelek proses barang lambat chat barang,Anger
67,belanja kecewa berbelanja kali,Fear
68,barang kaku jelek jelek elastis sesuai harga kecewa membeli,Sadness
69,toko rekomended pelayanan pengiriman sesuai kenyataan yg tertulis deskripsi barang yg kirim memilih kembalikan dana pembeli,Fear
70,mantap jiwo thx gan product terima sukses slalu,Love
71,minggu packing alasan overload minggu loh mingguuuuu,Anger
72,menjual jujur bro item cocok gambar item membeli sesuai gambar tampilan memesan harapan gambar item asli sesuai tampilan,Sadness
73,produk layak dimakan jamuran pcs kolom expired date asan qc ulang produk makanannya layak dimakan konsumen,Fear
74,kotak penutup buruk,Anger
75,kecewa krn pd brg tsb tdk dirmh kurir paketnya dilempar yg mengakibatkan bodi wajan tsb penyok,Sadness
76,isinya air ban keluhan,Anger
77,memuaskan pengiriman,Sadness
78,jelek jelek jelek jelek jelek kopi kopi,Sadness
79,mantap bagus teba,Happy
80,pengemasan ditingkatkan,Sadness
81,harga struk dimasukkan kotaknya beda harga ditampilkan tokopedia harganya mahal ya struk beda harganya,Fear
82,keren disukai anak,Love
83,mengecewakan pengepakan aman,Love
84,packing kacau bubble wrap tipis koper rusak,Sadness
85,makasih ka barang ok,Happy
86,barang nya rusak yah harga kualitas,Sadness
87,barang sesuai foto kualitas lumayan sesuai harga oke kalo brgtuu sukses,Happy
88,barang sepikiran deskripsi pengiriman kunjung,Love
89,barang dipesan barang sesuai,Fear
90,pengiriman aman lmyn cepat barang diterima jg bagus,Happy
91,pesen playdogh dikirim pesen stamp tp ga dikirim byr full ga cfm ga rekomended tokonya pembebasan sy ksh bintang anak sungai hrs amanah kl jual,Fear
92,bos hebat,Love
93,bahannya tipis bgt dipake panas sablonan jelek,Anger
94,roda mencapai perintah perbaikan tokopedia penutupnya robek ok dsini,Anger
95,bubur,Anger
96,yg dipesan yg dtg barangnya beda ga konfirmasi retur mahal ongkos,Fear
97,pelanggan,Love
98,kecewa sekelas p g packingnya kayak gini dilapisi plastik bening udah tau pembalut wanita sifatnya privasi pengirimannya,Sadness
99,beli pcs rusak,Fear
100,toko,Fear
101,desainnya cantik warnanya cantik kualitas produk bagus,Happy
102,good seller ramah proses cepat,Happy
103,mantab barang nya oke,Happy
104,produk sgt bgt bedanya sm foto dgn realnya pknya resleting bahan kasar,Fear
105,perampokan sesuai deskripsi ekstensi,Anger
106,pujian barang barang berguna membeli pesanan proses,Love
107,pengiriman cepat berfungsi dikaretin klo ngga longgar ngga pake,Fear
108,gimbal cocok utk iphone hp flagship memiliki stabilisasi bagus gimbal penambah support lbh stabil samsung note berfungsi catatan tdk casing casing bantalan pad nya dilepas bs foto fungsi zoom berfungsi fungsi mode video kamera berfungsi ganti kamera dg berfungsi hp murah xiaomi note gambarnya goyang ketimbang pake hp flagship stabilisasi tongkat tongsis dipanjangkan direkomendasikan berjalan hasilnya stabil tongsisnya dimajukan hasilnya ga bgt stabil,Happy
109,pesen dikirim,Fear
110,barang selamat cuman packing aja yg nambah buble buble nya dikit banget aja kaya packing,Fear
111,barang samping bonyok terbuka pas bongkar sekat yg terkelupas terkena gesekan sekat rapi press resin nya sekat depannya yg penyok resinnya semoga kedepannya check quality controlnya tingkatkan,Fear
112,pesan sdh mints tolong dikirimkan dgn nota iyakan penjual pesan nota,Fear
113,teksturnya keras hasilnya tebal gampang dipakai gampang packaging aman proses pesanan cepat,Happy
114,udah langgganan banget belanja imboost semoga laris manis jualannya ya kak terima kasih,Love
115,seller komunikatif pesan warna biru dikirim warna pink pemberitahuan beli kado utk mohon kedepannya diperbaiki,Fear
116,proses pengiriman gak recomended yg cepat vitamin pandemic kaya skrg,Fear
117,sesuai ditarik,Fear
118,istimewa ane langganan trus ama toko agan barang ber kualitas packing perhatikan keamanan nya barang kerusakan bentuk apapun,Love
119,pesennya tosca yg ungu hehehe tp produk tdk diragukan lg memuaskan kualitas product bagus,Happy
120,admin ga niat kerja komplain berpisah bintang ya bintang kasihan bosnya karyawan yg empati komplain update perkembangan komplain,Sadness
121,barang tergores penyok penyangga nya,Fear
122,baterai boros,Sadness
123,sial gak wangi wangi nya gak biji kopinya gak sesuai judul biji kopi kecewa banget pantesan murah dikasih sampah penipu,Anger
124,produk laba bagus paket buruk kotak,Fear
125,brg berfungsi dg terkendala diawal stlah jam mncba awet,Happy
126,diterima tutup wajan ad yg bermasalah wajannya ad goresan bermasalahnya krn proses pengiriman emang sononya cacat kecewa respon penjual bilang goresannya g beli beli wajan anti gores terima bergores kualitas bermasalah lgs ajukan komplain sdh terima wajannya gores tetep bbrp yg mengecewakan kecewa repot ngurus pengembalian barangnya mw jual diskon kasih kualitasnya g bagus aja produknya ad bbrp bermasalah dikasih diskon resiko beli online semoga awet,Sadness
127,ga nyala suaranya,Sadness
128,barang setara diskripsi indra peraba muka jd bersih lembut halus rekomen bwt cowok mantabs,Love
129,paket selamat pertahankan kualitas pelayanan harganya thanks seller tokped,Happy
130,barang udah diterima sesuai pesanan top markotop gan mantap pkk nya gan thx u gan,Happy
131,fast respon next order thank,Love
132,putar sebelah baut gampang kalah obeng,Fear
133,barang sesuai terima kasih,Happy
134,pengiriman cepat packing rapi aman sesuai dgn yg diorder terimakasih seller,Happy
135,gunanya atc gelembung,Anger
136,sprti barang bekas,Anger
137,arah dikirim,Anger
138,pengiriman laptop dr toko dicek laptop yg dikasih pembeli layar pecah kerdus rusak packingan yg rusak menghabiskan klaim tokpedia berminggu minggu berhasil klaim asuransi toko yg verified menjamin pelayanan toko buruk respon cepat beli aja dikomplen tanggung komplainan langsung dihari berikutny paket dibuka yg seharusny langsung tuker unit langsung dr toko trus gunany ditulis deskripsi garansi toko beli thanks,Fear
139,yg dino unicorn mlh yg dtg mickey mouse anak kecewa loh mba,Sadness
140,cakep bangetttt mulus sesuai ekspektasi thank ya,Love
141,pake berperan pakai duamya kepencet,Fear
142,suriah bintang pengirimannya salah dikirim departemen pengiriman,Sadness
143,bad admin opportunity lost pesanan tp diabaikan admin jd minat tata usaha wingsfood,Fear
144,mantab sesuai pesanan respon sigap informatif package rapih aman kondisi barang bagus segel kendala gosend error jd besoknya sabtu proses sigap bantu proses cepat bs diantar sabtu thanks,Happy
145,referensi sangka kren kecewa batre senternya hnya bertahan skitar jam aja,Sadness
146,bahan adem tipis terawang klo dipakai sesuai dg harga bahannya adem,Happy
147,cinta terima kasih adikku,Love
148,pelayanan tokonya sampah,Anger
149,sesuai gambar kardus kayu,Anger
150,aplikasi gak kebuka cm bs youtube aja wirelles keyboard arah back angka kecewa pengecekan dlu dikirim niat nonton bein remote mi boxnya jg tdk,Sadness
151,kendaraan kinclong mantap kendaraan kinclong mantap suka cita home servicenya suka cita pasangin bengkelnya,Love
152,item berfungsi berfungsi transaksi langsung klik selesai kesalahannya sisi penjual pertanyaannya pertanyaannya kesalahan produk setlh diklik dikembalikan paksa tinjauan diedit bintang model kabel,Fear
153,barang gak penipuan,Fear
154,asli bagus bgt,Love
155,sepatu elemennya pengemasan aman sesuai permintaannya vermicelli lezat variabel luxa singapura,Love
156,janjinya kaleng kaleng orang kaleng kecewa,Sadness
157,salah kirim barang dibantu retur retur barang yg dikirim rusak retak isi eye shadow nya menunggu utk retur semoga dibantu utk retur,Fear
158,mainannya normal nian,Love
159,bahannya murah,Fear
160,suaranya jernih tp keras casnya gk berfungsi tp gpp sy cas sndri proses pesanan cepat packaging aman packaging rapi,Happy
161,produk sesuai,Happy
162,bagus barangnya cocok latihan sticking anak,Happy
163,respon cepat memuaskan,Love
164,langganan,Love
165,seller responsif dlm mengupdate status pesanan packing produk rapi essential oilnya pure aromanya,Happy
166,bukunya asli ga sih kualitas kertas jelek ga berwarna ucapan terimakasihnya disecarik kertas terpisah gitu ga dijilid bersamaan delivery ok bgt cepat respon penjual cepat kecewa kualitas barangnya harga segitu kualitas jelek,Fear
167,udah pesen pke dus gak dus nya mending gak udah pke dus dah,Anger
168,toko barang buruk konsumen penjual gelembung dibebankan pembeli,Anger
169,kualitas buruk isi penuh lapis merata hasilnya rugi bayar ongkos tukang beli cat merk deh harga bohong,Sadness
170,produk berfungsi toko gak amanah pembeli disuruh balikkin produk buang ongkir aza toko gak beli,Fear
171,masker cocok aktivitas,Happy
172,warna hitam doff dikirim warna warni konfirmasi,Sadness
173,ga suka barangnya,Sadness
174,harga bersahabat dpt bonus jg,Happy
175,kecewa barang rejectan jual pelayanan buruk kya ga butuh uang respon buruk barang ga konfirmasi dlu gak kirim yg dibeli yg dikirim,Sadness
176,toko gimana pakai udah mati kaum kali jg bener jualan,Fear
177,full proses pesanan cepat packaging aman awet seharian,Happy
178,barangnya bagus pengirimannya kekurangan bagus ramah pengiriman minggu tuhan memberkati sehat sukses terima kasih,Love
179,mantabbb dahhh topp,Love
180,paking barangnya bagus nyampe barang adaptor didalam udah dicoba,Sadness
181,elemen dikirim diperiksa konsumen membayar nama membebaskan sekrup sungai sebelah penutup penahan penutup penutup dihapus menggunakannya,Anger
182,respon pengiriman cepat prduk ok harga relatif thx ya,Happy
183,barangnya ga dikirim,Fear
184,belom udah gak nyala baterai udah diganti gak nyala kecewa udah kerjain logitech,Sadness
185,menerawang mudah dibentuk jahitan rapi bahannya adem nyaman dipakai modelnya cantik warnanya cantik,Love
186,rusak,Anger
187,bahan bahannya bagus penutup lubang mudah menarik sekolah menengah,Fear
188,toko terbodoh packing ancur packing barang rusak pesanan sesuai tujuan membeli toko bodoh membeli usb mini fan order barang ready toko ready hasilnya sero sampe rumah selipin uang refund usb mini fan klk barang keleluasaan cancel aja tolol asan customer berpikir berkali kali belanja toko tolol kecewa membeli nya terimakasih,Anger
189,penjual ok barang nya bagus kurirnya juara mantap deh sukses ya kaaa,Love
190,hasil potongan produk rapih kancing pengait pas latar background kekecilan batok charger lampu cepat panas mengakibatkan lampunya pemakaian menit,Sadness
191,barang bagus panas,Happy
192,menerawang jahitan rapi mudah dibentuk warnanya cantik nyaman dipakai,Happy
193,pesan kurir instan posisi rumah bintaro jaksel kurirnya kearah bekasi penjual bilang tukang gojeknya ambil jalan alternatif helllooowwww kurirnya ojek online sampe rumah nganterin orang tuanya tukang urut bantu anak sungai penjual pastikan kalo barang langsung diantar kurir yg ambil apalagj kurir instan lepas tangan pesan kurir instan menjaga kualitas makanan terjaga barang rumah seal rapat,Anger
194,auhh bgt sma yg gambar pngguna dpt grtisan eh dpt nya daster loak lucu tokped toko nya nih gak rugi gak smpet foto sya ksihkan sma nenek dah,Anger
195,barang rusak ga nyala coba dikirim,Anger
196,barang sesuai pesanan paking standar bagus pengiriman cepat tks gan,Happy
197,beda sma yg gambar pdahal udh pernh pesen skali sni,Sadness
198,barang sesuai pengiriman cepat,Happy
199,beli ssd diterima kondisi rusak,Sadness
200,cepat paketnya bahan satin bagus bagus,Love
201,item membeli barang,Fear
202,kainnya adem lembut tipis nyaman klo tidur terimakasih,Happy
203,pcs ngiket rambut ga kekencengan ya kalo saran tambahin bubble wrap semoga safety pouch nya kegunting pengemasan,Fear
204,keren barang kirimannya,Love
205,respon seller proses pengiriman kurir pengiriman cepat produk stock semoga cocok pakai,Happy
206,packing nya cegak bngt cepat kurirnya jg ramah recommended,Love
207,m,Love
208,produk nya bagus sesuai deskripsi,Happy
209,buruk yg blg exp nya sekelas unilever suruh refund barangnya udh sampe ongkir nya ganti ganti yg kebuang nunggu paket packingnya anter nya g kerjaan ya semoga unilever yg sadar kesalahan nya kelalaiannya tolong menyusahkan pembeli beli gratisan,Anger
210,pengirimannya sih cepat barangnya bruntusan gitu teman beli drum pad bahan karet malang alus yg beli bruntusan ekspetasi bagus dapatnya yg jelekkan tdk sesuai foto yg pajang penjual,Fear
211,penjualan obeng magnetik obeng magnetik sulit hidup alat lengkap parah,Sadness
212,jual menjual toko saudara,Anger
213,harga segini barang yg memuaskan,Happy
214,udah botol refill beli biar dpt botol yg sticker dermatologically tested nya,Love
215,slamnya bonus cepat byk semoga penjual sukses,Love
216,bahannya bagus aja,Sadness
217,xxl nya kekecilan,Fear
218,love product bagus worth thank,Love
219,beli barang tujuan memuaskan,Happy
220,bahan tebal barang sesuai deskripsi pengiriman cepat,Happy
221,respon admin oke ekspedisi kurir aman packing ergonomis selamat tujuan minus perbandingan barang sesuai foto testi harga barang sesuai baterai normal ya gan,Happy
222,barang bagus pengiriman smg awett,Happy
223,barang bagus sesuai,Happy
224,respon seller lambat dl barang dikirim,Fear
225,bagus pas fotonya,Sadness
226,elemennya bagus buku mahal berkurang,Love
227,mantab bahannya tenang ukuran sesuai modelnya mujur warnanya mujur jahitan rapi menerawang,Love
228,ga ngerti konsepnya gimana dibuka pensilnya infinit patah gini hadeh,Anger
229,negative bgt botol nya gak praktis gitu berilmu bocor jegang review emang botol ehh bener paraaaah sih botolnya oil nya lumayan,Sadness
230,recommended seller fast respons kualitas barang harga terimakasih,Happy
231,sorry kasih bintang bintang tp krn respon adminnya yg ramah sm cepat sengaja beli official shop berharap cepat kado temen tp bikin kecewa salah kirim novel retur makan proses jd gagal kado yah know maybe human error cm pesen salah semoga teliti kedepannya yamin,Sadness
232,timernya,Sadness
233,sebenernya kualitasnya oke sih tp nggak masuk kamera yg pake phantom power,Sadness
234,pengiriman cepat persis mengirim lensa makro mata ikan sudut lebar lensa makro verifikasi mengirimkannya kekecewaan,Sadness
235,berat barang deskripsi berat asli barang kurir diterima ongkir mahal kenyataan mengajukan komplain dll refund ongkir merepotkan,Anger
236,bahannya enak lembut gel dalamnya talinya diatur gk mengganggu pas tidur packing rapih pengiriman cepat langsung proses jam kerja respon seller cepat ramah,Happy
237,roti keras,Anger
238,bahan produk direkomendasikan rumah nyaman penjual murah penjual pemulihan tunai diklarifikasi menghubungkan uang memperlakukan pengiriman gratis berbelanja yah poinnya kali terima kasih mendengarkan ulasannya terima kasih,Love
239,stick ga dikirim pake dus nya kyk beli barang bekas ga sesuai deskripsi,Fear
240,kualitas bahan bagus nyaman dipakai jahitannya rapi ukuran sesuai warnanya cantik bahannya lembut bahannya adem menerawang bahan menyerap keringat,Happy
241,diple ps buka cantelannya patah,Sadness
242,produk bagus,Sadness
243,uda noted tulung cek drivernya kali ya yg patahin j hook patah rusak kyk keteken kucel duit pdhal pembelian memuaskan knpa yg x tulung cek teliti yah,Fear
244,pesanan posisi rumah bentaru selatan jakarta bekasi penjual pengemudi gojek mengambil jalan alternatif hellowwww surat cepat tarif sepeda motor internet rumah dibutuhkan rumah dibutuhkan ras tuanya penjual tolong anak sungai penjual barang dikirim langsung surat cepat mengambil,Anger
245,bahan bagus berukuran keren model warna indah jahitan rapi indah melamun,Love
246,kecewa banget barang lecet noda sampul pengiriman banget pake kurir antaraja hih adminnya kalo barang jelek gini dikirim malas mo baca bukunya,Sadness
247,pesan yg bentuk ikan dikirim yg donat kucing mencret,Fear
248,trima kasih respon cepat barang dgn selamat,Happy
249,buntut kabel colokan gagang telepon pesawat telepon terpasang ahsan,Sadness
250,kalo udah bayar dicuekin penjualnya chat januari respon order januari jam siang kurir grab barang januari jam sore kalo ujung ujungnya gak tujuan yg ngapain bayar ongkir mahal pakai grab,Anger
251,gajelas,Anger
252,itemnya lengket lemah,Anger
253,fast respond sellernya ramah packing rapi pengiriman cepat recommended,Love
254,ukuran singlet anak pas newborn gedean singlet newborn anak leterangan size nya th sayang banget lucu,Sadness
255,gak sesuai ekspektasi ol shop harga banget murah,Sadness
256,layanan desain ramah maksimum sesuai harapan disarankan,Love
257,mungil bntukny tp bnyak fungsi kualitas mantaapppp,Love
258,bahanny ga enak,Sadness
259,barang ok batrai bocor parah tdk niat batrai yg x maen ga jam lngsng cas jg lampu slalu merah,Sadness
260,bahannya kuat pasang quick mount patah mekanisme penguncinya,Sadness
261,hipseat terhubung mengecewakan pembawa anak kunci pengaman hipseat gendongan bayi pelindung anak tersedia,Fear
262,nggak terima paketnya lacak respon,Sadness
263,ga dikasih adaptor gepeng nya ketipu,Anger
264,barang diterima diwrapping bubble aman,Happy
265,langsung dicobain berfungsi suka lembut modelnya lho keren banget puas semoga awet respon proses pengiriman toko cepat kemasan aman terima kasih bonusnya ya,Love
266,lampunya terang pancaran cahaya lampu yg produk original,Happy
267,good friendly warna menarik anak bahagia,Love
268,barang berkualitas buruk patah kaki pecah rusak dilepas menggunakannya membuangnya,Anger
269,mantab fast response terima kasih,Happy
270,muatan lapuk kirim,Anger
271,pengiriman cepat persis dikirim lensa makro mata ikan sudut lebar lensa makro periksa dikirim kecewa,Sadness
272,packing buble warp tebal pengemasan cepat pengiriman kurir standar produk segel exp msh terima kasih,Happy
273,repeat order,Love
274,barang pengiriman sesuai suara alarm kenceng alarm clock mengarah keatas jd display pd jam lbh posisi mata qta lbh dr posisi jam,Happy
275,bawaan selamat,Love
276,maaf kecewa pengguna fahhampton membeli isi tes tester farhampton jatuh cinta langsung membeli berubah hak bertahan proyek penguji baunya jatuh cinta tes aroma,Sadness
277,terbaik respons cepat proses harga terbaik cepat dibantu tanggal tanggal pemesanan mendadak hambatan tiket hangus tiket membantu,Love
278,hot wheels asli bahan plastik harap keterangan barang tdk original,Fear
279,produk pengemasan rapi,Happy
280,barangnya jelek cepet usang pake sehari talinya ayun,Anger
281,pengiriman cepat kualitas barang bagus wanginya oke,Happy
282,sayang dipertukarkan kualitas negatif rusak maaf kecewa,Sadness
283,pengisi daya pengiriman dikenakan biaya cepat,Fear
284,alamak elegan penutup plastik putih transparan penutup plastik hitam elegan,Anger
285,barang sesuai ekpektasi terimakasih,Happy
286,barang sesuai deskripsi produk original mudah dipasang barang oke kiriman cepat original ongkir tokopedia barang sesuai pesanan seller mantap paking amaan senteso enak belanja ditokopedia dapaat bebas ongkir bebas ongkir extra,Love
287,jelek jgn beli kecewa hikmat murah emang murahan bahannya nyesal penjualnya,Anger
288,barang jelek belom pake udah patah,Sadness
289,barang dobel bungkus plastik bubble wrap hancur diterima beruntung isinya lengkap besi nya penyok,Fear
290,box hancur customer beli kado mengecewakan bungkus pake plastik tipis toko gak modal bubble wrap,Anger
291,kirim celananya ga sesuai ukuran,Sadness
292,pesan tanggal maret jam pakai pengiriman instant nya tanggal maret bayar mahal dikirimnya keesokan harinya salah pengantarnya driver nya mengantarkan paket durasi proses toko butuhnya tanggal maret pilih pengiriman instant toko paket dikirim jawabannya kenyataannya paket dikirim dikirim ya bilang ajukan cancel pesanan respon penjual pelayanan buruk recommended semoga kedepannya,Fear
293,seller komunikatif pengerjaan cepat udh repeat order,Love
294,bagus lembut,Happy
295,produk sesuai deskripsi sdh diterima aman tks,Happy
296,menggunakannya merobek bahan tipis,Sadness
297,normal xl baju oke celananya tdk xl kekecilan baju pakai celana baju yg dikirim celananya robek jahitan tdk check sblm kirim,Sadness
298,barang sesuai deksripsi pengiriman cepat rapi terima kasih,Happy
299,produk cantik toko gak mengambang pembeli disuruh balikkin produk campak ongkir aza toko gak beli,Fear
300,barang cocok dikirim murah perbedaan harga barang,Sadness
301,berat foam gram ditulis gram beli foam data kg timbang fisik yg curang penjual utk dpt uang ongkir yg pembeli bayarkan,Fear
302,,Anger
303,elemen terkoyak,Anger
304,udah sampenya bgd semingguan trs pas barangnya coba patah sialan,Anger
305,bocor sambungan karet keran bocor dri drat karna gk rapat rapatkan gk karna mentok,Sadness
306,mohon maaf dikasih rating segini barang yg dikirim sesuai follow penggantian barang semoga kedepan ditindak lanjuti terima kasih,Fear
307,kecewa sih barangnya ngk sesuai ekpektasi ngk dilempar,Sadness
308,yg dikirim russakkkkk guys maaf dahh,Anger
309,shieldnya retak penjual bertanggung coba bicara inbox merekomendasikan toko,Fear
310,pecah gagang seller ga tanggung sampe tokopedia memutuskan direfund,Anger
311,barang dikirimkan berfungsi pipa pendek dipasang baut lengkap,Fear
312,msker tipis aja krg berasa aman tuk pndemi mlh lbh ccok yg sy bli pkai mhalll hrganya tuk produk lokal kualitas,Anger
313,kerenn ponsel korea uang receh,Love
314,bawaan yg dikirim hrsnya cek konsumen byr gratis paku rivert nya yg sepotong tutup penahannya yg sebelahnya nggak tutup penahannya copotlah klo pake gimana sih,Anger
315,buruk,Anger
316,sepatu dikirim cocok pesan warna jenis keluhan rumit pesanan disimpan,Anger
317,banget sampenya pas nyampe jamuran gini haduuh parah deh,Anger
318,mengecewakan,Sadness
319,produk setimbang hikmat terjangkau bagus,Love
320,gps adas gak berfungsi penjual jt cm kamera mahal,Anger
321,berkulit hitam komputer pribadi orang black berlawanan,Sadness
322,terima barang tgl pdhl tanggal status pengiriman pembeli update aja uang aja,Fear
323,ukuran dekrit,Fear
324,rintang sabun manjur apagi dipakai olahraga,Love
325,terima kasih produk diterima pengiriman cepat packaging,Happy
326,baunya jahat pusing,Sadness
327,bau bgt kayak bau sampah,Anger
328,beli ngepasin uang dikasih nya dlm kondisi bekas ya ga perekat bekas lekukan iya murah cuman profesional jualannya,Fear
329,penjual beban gak diterima diajukan pengembalian dana hr notif sdh finis dana diteruskan penjual woi balikan dana,Anger
330,pink merah kirim merah untung anaknya seller arogan jualnya memaksa warna yg sesuai kapok deh gak,Sadness
331,gak recomended produk sih ok spt tp packing pk amplop kondangan putih dibungkus plastik ya jebol obatnya stok najong banget dah chat ga dibales kapok gw belanja,Fear
332,tdk sesuai warna pesanan,Fear
333,udah beli ga awet banget yg rusak rel nya macet beli eh relnya kendor ga kenceng beltnya,Anger
334,ditinjau dr kesesuaian dg deskripsi fungsional produk rekomendasi produk sesuai,Love
335,pengemudi barangnya pintar,Anger
336,bangke sampe rumah mati beli,Fear
337,cepet kelupas br pake jam doang mnding revlon sklian terjamin bgs,Fear
338,gak spt pembelian yg asin kebangetan udah gitu packingannya dibuble wrap tdk dos spt kripiknya yg hancur,Anger
339,okeeee siiipps kereeennn abis utk tempatbhotwhealsnya gan,Love
340,bagus packing barangnya,Happy
341,yg biru kasih toska,Sadness
342,produk original packing aman kardus engga penyok mantabs,Happy
343,kualitas foto asli cetakan foto digital dgn kretas kualitas rendah exhibition kualitasnya rendah,Fear
344,seminggu udah ga fungsi,Sadness
345,toko terbodoh packing ancur packing barang busuk pesanan sesuai tujuan membeli toko bodoh membeli usb mini fan anggaran dasar barang ready toko ready hasilnya sero sampe rumah selipin uang refund usb mini fan klk barang keleluasaan cancel aja tolol asan customer berpikir berkali kali belanja toko tolol kecewa membeli nya terimakasih,Anger
346,barang ga dipake lampunya ga nyala sensornya rusak,Anger
347,lampu indikator tdk,Sadness
348,suka sabun enak apagi dipakai olahraga,Love
349,kekecewaan kualitasnya,Sadness
350,pengalaman beli kulkas online alhamdulillah pengiriman pengemasan produk diterima dng kerusakan kualitas produk bagus harga miring dibanding beli langsung toko,Happy
351,tutupnya beli harga murah tp gabisa dibawa kemana karna barang rusak,Sadness
352,kereeeeennnnnn mantab,Love
353,maaf produk kecewa salah toples merah toples merah berjamur toples bagus,Sadness
354,murah mudah nya bermanfaat packing aman tebal bubble wrapnya see,Happy
355,tombol kempot parah pabrikan jaga mutu,Fear
356,bagus banget barang nya pake promo nya terjangkau banget anak sekolah kaya,Love
357,terima kasihh boss mantappss smoga lancarr n berkah rezekinya smngttt boss,Love
358,bahan model bagus size udah size ngepas kekinian,Happy
